Country,Position,Account,Artist,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped
All,225,tinistoessel,tini,https://www.instagram.com/tinistoessel/,Music,17100000,Argentina,731400,978100,2/7/2022 16:50
All,228,somsomi0309,ENNIK,https://www.instagram.com/somsomi0309/,Music,13200000,Indonesia,1000000,1300000,2/7/2022 16:50
All,236,lestykejora,Lestikejora,https://www.instagram.com/lestykejora/,Music,24500000,Indonesia,509800,658200,2/7/2022 16:50
All,239,simoneses,Simone Mendes,https://www.instagram.com/simoneses/,Music,33400000,Brazil,377400,475600,2/7/2022 16:50
All,240,itzy.all.in.us,ITZY,https://www.instagram.com/itzy.all.in.us/,Music,14800000,Indonesia,873500,1100000,2/7/2022 16:50
All,243,lilbaby,WHAM,https://www.instagram.com/lilbaby/,Music,18000000,United States,471600,868500,2/7/2022 16:50
All,244,bellathorne,BELLA,https://www.instagram.com/bellathorne/,Music|Art|Artists,25100000,United States,369100,618200,2/7/2022 16:50
All,245,jojotodynho,JoJo,https://www.instagram.com/jojotodynho/,Music,21200000,Brazil,455800,738400,2/7/2022 16:50
All,247,hyunah_aa,Hyun Ah,https://www.instagram.com/hyunah_aa/,Music,17200000,South Korea,754100,894100,2/7/2022 16:50
All,248,brunomars,Bruno Mars,https://www.instagram.com/brunomars/,Music,24600000,Brazil,411100,623400,2/7/2022 16:50
All,265,nicki.nicole,,https://www.instagram.com/nicki.nicole/,Music,11200000,Argentina,871000,1300000,2/7/2022 16:50
All,269,liampayne,Liam Payne,https://www.instagram.com/liampayne/,Music,24000000,United States,423200,590500,2/7/2022 16:50
All,270,taeyeon_ss,TaeYeon,https://www.instagram.com/taeyeon_ss/,Music,17800000,South Korea,648700,789600,2/7/2022 16:50
All,271,rauwalejandro,RA’ RAUW,https://www.instagram.com/rauwalejandro/,Music,12700000,Spain,756500,1100000,2/7/2022 16:50
All,273,bighit_ent,BigHit Music Updates,https://www.instagram.com/bighit_ent/,Music,13200000,Indonesia,847300,1000000,2/7/2022 16:50
All,278,marshmellomusic,marshmello,https://www.instagram.com/marshmellomusic/,Music,29300000,India,391300,461800,2/7/2022 16:50
All,279,postmalone,twelve carat toothache,https://www.instagram.com/postmalone/,Music,22400000,United States,395400,605600,2/7/2022 16:50
All,297,nct127,NCT 127 Official Instagram,https://www.instagram.com/nct127/,Music,13500000,Indonesia,743700,917700,2/7/2022 16:50
All,307,zefelipecantor,Zé,https://www.instagram.com/zefelipecantor/,Music,22000000,Brazil,310800,547300,2/7/2022 16:50
All,311,fedez,FEDEZ,https://www.instagram.com/fedez/,Music,13300000,Italy,641400,888000,2/7/2022 16:50
All,312,nct,NCT Official Instagram,https://www.instagram.com/nct/,Music,13100000,Indonesia,693500,909000,2/7/2022 16:50
All,313,tenlee_1001,TEN_+•10,https://www.instagram.com/tenlee_1001/,Music,9200000,Indonesia,1000000,1300000,2/7/2022 16:50
All,318,mirella,BAD MI ⚡️ MC MIRELLA,https://www.instagram.com/mirella/,Music,26100000,Brazil,209500,443300,2/7/2022 16:50
All,320,bambam1a,BamBam,https://www.instagram.com/bambam1a/,Music,15700000,Brazil,581400,730600,2/7/2022 16:50
All,321,future,Future PLUTO Hendrix,https://www.instagram.com/future/,Music,18700000,United States,306400,609800,2/7/2022 16:50
All,325,davido,Davido,https://www.instagram.com/davido/,Music,22800000,Nigeria,358700,501300,2/7/2022 16:50
All,333,melissamelmaia,MEL MAIA,https://www.instagram.com/melissamelmaia/,Music,11300000,Brazil,515900,934800,2/7/2022 16:50
All,338,asaprocky,GRIM,https://www.instagram.com/asaprocky/,Music,14400000,United States,426700,714100,2/7/2022 16:50
All,342,camilo,C A M I L O,https://www.instagram.com/camilo/,Music,25800000,Argentina,246100,391100,2/7/2022 16:50
All,343,jessicah_o,Jessi / 제시,https://www.instagram.com/jessicah_o/,Music,9500000,United States,835100,1100000,2/7/2022 16:50
All,344,offsetyrn,OFFSET,https://www.instagram.com/offsetyrn/,Music,19600000,United States,286300,512300,2/7/2022 16:50
All,351,gusttavolima,🏛 Gusttavo Lima 🏛,https://www.instagram.com/gusttavolima/,Music,42500000,Brazil,136900,227800,2/7/2022 16:50
All,352,lildurk,DURKIOOO,https://www.instagram.com/lildurk/,Music|Art|Artists,12500000,United States,275500,778800,2/7/2022 16:50
All,372,machinegunkelly,the Blonde Don,https://www.instagram.com/machinegunkelly/,Music,9500000,United States,590100,948800,2/7/2022 16:50
All,377,teddysphotos,Ed Sheeran,https://www.instagram.com/teddysphotos/,Music,37000000,United States,174400,237800,2/7/2022 16:50
All,380,charlieputh,Charlie,https://www.instagram.com/charlieputh/,Music,15600000,United States,392000,557400,2/7/2022 16:50
All,381,jinyoung_0922jy,jinyoung,https://www.instagram.com/jinyoung_0922jy/,Music,9200000,Indonesia,717900,952000,2/7/2022 16:50
All,388,britneyspears,Britney Spears,https://www.instagram.com/britneyspears/,Music,39500000,United States,151700,212400,2/7/2022 16:50
All,392,keniaos,Kenia Os,https://www.instagram.com/keniaos/,Music,12000000,Mexico,526800,685900,2/7/2022 16:50
All,402,weareone.exo,EXO Official,https://www.instagram.com/weareone.exo/,Music,9700000,Indonesia,676700,848900,2/7/2022 16:50
All,412,trippieredd,555,https://www.instagram.com/trippieredd/,Music,12800000,United States,318200,624500,2/7/2022 16:50
All,431,bhadbhabie,ℬ𝒽𝒶𝒷𝒾ℯ🦋,https://www.instagram.com/bhadbhabie/,Music,16500000,United States,237100,446200,2/7/2022 16:50
All,432,ozuna,@ozutochi 🔜 #TemporadaDelOzo,https://www.instagram.com/ozuna/,Music,22000000,Spain,248000,334900,2/7/2022 16:50
All,433,maisa,+A,https://www.instagram.com/maisa/,Music,41100000,Brazil,130300,178200,2/7/2022 16:50
All,451,nickyjam,NICKY JAM,https://www.instagram.com/nickyjam/,Music,42300000,Colombia,138600,164200,2/7/2022 16:50
All,460,malutrevejo,Malú 🦋 222🎤,https://www.instagram.com/malutrevejo/,Music,11000000,United States,344400,618200,2/7/2022 16:50
All,461,ludmilla,Ludmilla,https://www.instagram.com/ludmilla/,Music,25600000,Brazil,181700,272000,2/7/2022 16:50
All,462,7_luhan_m,鹿 Han,https://www.instagram.com/7_luhan_m/,Music,12700000,Indonesia,442400,537000,2/7/2022 16:50
All,465,nancyajram,Nancy Ajram,https://www.instagram.com/nancyajram/,Music,32000000,Iraq,166200,212200,2/7/2022 16:50
All,466,21savage,,https://www.instagram.com/21savage/,Music,13200000,United States,291700,511800,2/7/2022 16:50
All,467,gururandhawa,Guru Randhawa,https://www.instagram.com/gururandhawa/,Music,30700000,India,178500,219900,2/7/2022 16:50
All,471,mariabecerra,Maria Becerra,https://www.instagram.com/mariabecerra/,Music,7900000,Argentina,360700,851300,2/7/2022 16:50
All,481,simaria,Simaria Mendes,https://www.instagram.com/simaria/,Music,27100000,Brazil,166700,242100,2/7/2022 16:50
All,484,dababy,BILLION DOLLAR BABY 👶🏾,https://www.instagram.com/dababy/,Music,20300000,United States,196500,320800,2/7/2022 16:50
All,497,conangray,Conan Gray,https://www.instagram.com/conangray/,Music,5500000,Brazil,769900,1200000,2/7/2022 16:50
All,499,min9yu_k,김민규,https://www.instagram.com/min9yu_k/,Music,5800000,Indonesia,888600,1100000,2/7/2022 16:50
All,500,darshanravaldz,Darshan Raval #JannatVe,https://www.instagram.com/darshanravaldz/,Music,14500000,India,358500,433300,2/7/2022 16:50
All,509,dukissj,Ya Supiste,https://www.instagram.com/dukissj/,Music,8600000,Argentina,405200,722600,2/7/2022 16:50
All,528,kingbach,King Bach,https://www.instagram.com/kingbach/,Music|Art|Artists|Cinema|Actors/actresses,21900000,United States,134800,271200,2/7/2022 16:50
All,539,raisa6690,,https://www.instagram.com/raisa6690/,Music,29800000,Indonesia,122300,191400,2/7/2022 16:50
